benchmark_band_id,reference_year,county,city,neighborhood_tier,property_type,min_eur_sqm,median_eur_sqm,max_eur_sqm,official_source_context,synthetic_adjustment_note
PB-BUCURESTI-SECTOR-1-CENTRAL-APARTMENT,2025,Bucuresti,Bucuresti,central,apartment,2130,2540,3050,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-1-CENTRAL-HOUSE,2025,Bucuresti,Bucuresti,central,house,2300,2740,3290,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-APARTMENT,2025,Bucuresti,Bucuresti,semi-central,apartment,1810,2150,2580,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-1-SEMI-CENTRAL-HOUSE,2025,Bucuresti,Bucuresti,semi-central,house,1950,2320,2780,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-1-OUTER-APARTMENT,2025,Bucuresti,Bucuresti,outer,apartment,1480,1760,2110,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-1-OUTER-HOUSE,2025,Bucuresti,Bucuresti,outer,house,1600,1900,2280,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-3-CENTRAL-APARTMENT,2025,Bucuresti,Bucuresti,central,apartment,1830,2180,2620,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-3-CENTRAL-HOUSE,2025,Bucuresti,Bucuresti,central,house,1980,2360,2830,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-APARTMENT,2025,Bucuresti,Bucuresti,semi-central,apartment,1550,1850,2220,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-3-SEMI-CENTRAL-HOUSE,2025,Bucuresti,Bucuresti,semi-central,house,1680,2000,2400,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-3-OUTER-APARTMENT,2025,Bucuresti,Bucuresti,outer,apartment,1280,1520,1820,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-BUCURESTI-SECTOR-3-OUTER-HOUSE,2025,Bucuresti,Bucuresti,outer,house,1380,1640,1970,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-APARTMENT,2025,Cluj,Cluj-Napoca,central,apartment,2380,2830,3400,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CLUJ-NAPOCA-MUNICIPIU-CENTRAL-HOUSE,2025,Cluj,Cluj-Napoca,central,house,2570,3060,3670,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-APARTMENT,2025,Cluj,Cluj-Napoca,semi-central,apartment,2020,2400,2880,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CLUJ-NAPOCA-MUNICIPIU-SEMI-CENTRAL-HOUSE,2025,Cluj,Cluj-Napoca,semi-central,house,2180,2590,3110,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
PB-CLUJ-NAPOCA-MUNICIPIU-OUTER-APARTMENT,2025,Cluj,Cluj-Napoca,outer,apartment,1650,1970,2360,Eurostat HPI plus Romanian notarial-study concepts; synthetic training bands are not official valuations.,Synthetic city-tier spread for deterministic mortgage BI exercises.
